latitude,longitude,name,desc,color,source,precision
39.943809,-75.146247,4000 Delancey St Philadelphia,"Delancey Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952512,-75.201721,3916 Locust Walk Philadelphia,"3916 Locust Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,2929 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3100 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949948,-75.194096,3400 Spruce St Philadelphia,"3400 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.78373,-100.445882,46th/Baltimore Ave Philadelphia,US,,MapQuest Open,country
39.954925,-75.190403,3600 Ludlow St Philadelphia,"Ludlow Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953335,-75.183643,4125 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949948,-75.194096,3400 Spruce St Philadelphia,"3400 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953585,-75.173316,4000 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.946849,-75.158563,4030 Irving St Philadelphia,"Irving Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953585,-75.173316,3300 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
